anime_id,name,genre,type,episodes,rating,members
32281,kimi no na wa ,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630.0
5114,fullmetal alchemist  brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665.0
28977,gintama ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262.0
9253,steins gate,"Sci-Fi, Thriller",TV,24,9.17,673572.0
9969,gintama  039 ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266.0
32935,haikyuu    karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351.0
11061,hunter x hunter  2011 ,"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855.0
820,ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679.0
15335,gintama movie  kanketsu hen   yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534.0
15417,gintama  039   enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109.0
4181,clannad  after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749.0
28851,koe no katachi,"Drama, School, Shounen",Movie,1,9.05,102733.0
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376.0
2904,code geass  hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888.0
28891,haikyuu   second season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342.0
199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254.0
23273,shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397.0
24701,mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894.0
12355,ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193.0
1575,code geass  hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151.0
263,hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670.0
44,rurouni kenshin  meiji kenkaku romantan   tsuioku hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307.0
1,cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824.0
30276,one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458.0
164,mononoke hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556.0
7311,suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297.0
17074,monogatari series  second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959.0
21939,mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351.0
457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030.0
2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962.0
245,great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487.0
32983,natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865.0
5258,hajime no ippo  new challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995.0
28957,mushishi zoku shou  suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266.0
11665,natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431.0
431,howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186.0
11741,fate zero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973.0
31757,kizumonogatari ii  nekketsu hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347.0
19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562.0
12365,bakuman  3rd season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620.0
1535,death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917.0
32366,gintama   aizome kaori hen,"Comedy, Parody",OVA,2,8.69,16947.0
30654,ansatsu kyoushitsu  tv  2nd season,"Action, Comedy, School, Shounen",TV,25,8.68,176475.0
20583,haikyuu  ,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498.0
19647,hajime no ippo  rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756.0
4282,kara no kyoukai 5  mujun rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074.0
10379,natsume yuujinchou san,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322.0
22135,ping pong the animation,"Psychological, Seinen, Sports",TV,11,8.67,97187.0
21329,mushishi special  hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036.0
31043,boku dake ga inai machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381.0
7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531.0
3297,aria the origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162.0
30709,kamisama hajimemashita  kako hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422.0
6114,rainbow  nisha rokubou no shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474.0
31240,re zero kara hajimeru isekai seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839.0
4565,tengen toppa gurren lagann movie  lagann hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253.0
5300,zoku natsume yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173.0
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai ,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835.0
24415,kuroko no basket 3rd season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525.0
11577,steins gate movie  fuka ryouiki no déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424.0
10408,hotarubi no mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439.0
28171,shokugeki no souma,"Ecchi, School, Shounen",TV,24,8.61,348951.0
32995,yuri    on ice,"Comedy, Sports",TV,12,8.61,103178.0
21899,gintama  yorinuki gintama san on theater 2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104.0
26055,jojo no kimyou na bouken  stardust crusaders 2nd season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657.0
7472,gintama movie  shinyaku benizakura hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185.0
777,hellsing ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454.0
22535,kiseijuu  sei no kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457.0
28735,shouwa genroku rakugo shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295.0
12431,uchuu kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958.0
28805,bakemono no ko,"Adventure, Supernatural",Movie,1,8.58,80825.0
578,hotaru no haka,"Drama, Historical",Movie,1,8.58,174878.0
16894,kuroko no basket 2nd season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325.0
5028,major s5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653.0
21,one piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,2.0,8.58,504862.0
801,ghost in the shell  stand alone complex 2nd gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993.0
31933,jojo no kimyou na bouken  diamond wa kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074.0
5205,kara no kyoukai 7  satsujin kousatsu  kou ,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658.0
